,Dose,IL-1,IL-2,IL-4,IL-7,IL-9,IL-10,IL-14,IL-17,IL-19,IL-24,IL-29,IL-36,Stock
10^-3,0.001,,,,,,,0,,,,,,
10^-3,0.001,,,,,,,0,,,,,,
10^-3,0.001,,,,,,,0,,,,,,
10^-3,0.001,,,,,,,0,,,,,,
10^-3,0.001,,,,,,,0,,,,,,
10^-3,0.001,,,,,,,0,,,,,,
10^-3,0.001,,,,,,,0,,,,,,
10^-3,0.001,,,,,,,0,,,,,,
10^-3,0.001,,,,,,,0,,,,,,
10^-3,0.001,,,,,,,0,,,,,,
10^-3,0.001,,,,,,,0,,,,,,
10^-3,0.001,,,,,,,0,,,,,,
10^-3,0.001,,,,,,,0,,,,,,
10^-3,0.001,,,,,,,0,,,,,,
10^-3,0.001,,,,,,,0,,,,,,
10^-3,0.001,,,,,,,0,,,,,,
10^-3,0.001,,,,,,,0,,,,,,
10^-3,0.001,,,,,,,0,,,,,,
10^-3,0.001,,,,,,,0,,,,,,
10^-3,0.001,,,,,,,0,,,,,,
10^-3,0.001,,,,,,,0,,,,,,
10^-3,0.001,,,,,,,0,,,,,,
Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,0,0,0,0,0,0,0,0,0,0,0,0,,0
Control,0,0,0,0,0,0,0,0,0,0,0,0,,0
Control,0,0,0,0,0,0,0,0,0,0,,0,,0
Control,0,0,,0,0,0,0,0,0,0,,0,,0
Control,0,0,,0,0,0,0,0,0,0,,0,,0
Control,0,0,,0,0,0,0,0,,0,,0,,0
Control,0,0,,,0,0,0,0,,0,,0,,0
Control,0,0,,,0,0,,0,,0,,0,,
Control,0,0,,,0,,,0,,0,,0,,
Control,0,0,,,0,,,0,,0,,0,,
Control,0,,,,0,,,0,,,,,,
Control,0,,,,,,,0,,,,,,
Control,0,,,,,,,0,,,,,,
Control,0,,,,,,,0,,,,,,
Control,0,,,,,,,0,,,,,,
Control,0,,,,,,,0,,,,,,
Control,0,,,,,,,0,,,,,,
Control,0,,,,,,,0,,,,,,
Control,0,,,,,,,0,,,,,,
Control,0,,,,,,,0,,,,,,
Control,0,,,,,,,0,,,,,,
Control,0,,,,,,,0,,,,,,
Control,0,,,,,,,0,,,,,,
Control,0,,,,,,,0,,,,,,
